Projects,Cover,Date,Description,Director,Genre,Related,Status,Writers,Year
曹格 - Superman,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/Screenshot_2024-09-04_at_12.20.11.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://youtu.be/CGffay26lug?si=wznw0yCIBqxkIlhc,Done,,2006
S.H.E - 藉口,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/ss.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://www.youtube.com/watch?v=s_y-s9nhe74,Done,,2007
竹林傳奇 Once Upon a Time in the Bamboo,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/once.png,2020年2月29日,,導演 Peilin Kuo,短片 Short Film,https://www.imdb.com/title/tt12348560/,Done,編劇 Peilin Kuo,2020
死了一個娛樂女記者之後 Tabloid,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/tabloid.png,,片花剪輯,導演 梁秀紅、吳旻炫,預告片花 Trailer,,Done,編劇 柯映安,2024
太太太厲害 M Mission,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/463259780_1090933659703076_8309139677173519757_n.jpg,,片花剪輯,導演 吳建新,預告片花 Trailer,,Done,,2024
不想一個人 Leave Me Alone,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/bu.jpg,2021年12月24日,金馬獎最佳女配角、最佳美術設計提名，獲台北電影獎最佳攝影。,導演 范揚仲,電影 Feature Film,"▶️ https://youtu.be/4FWUzpdtwmU?si=LvTAQ2k_HXi_qKVD▶️ https://www.catchplay.com/tw/video/dc705e6f-0f28-4853-95f1-351da6ca6255 
▶️ https://video.friday.tw/movie/detail/82059/%E4%B8%8D%E6%83%B3%E4%B8%80%E5%80%8B%E4%BA%BA",Done,編劇 范揚仲,2021
敬盛堂的春大神,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/jing.png,,,導演 王道南,電視電影 TV Movie,▶️ https://youtu.be/AT_Yc16Yy7Y?si=AB3Cs5BUbu4a-2-k,Done,編劇 王道南,2008
蔡健雅 - 障眼法,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/Screenshot_2024-09-04_at_12.28.48.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://youtu.be/ROgiiCY-PN0?si=DEpwh0BBNvt3j4oI,Done,,2006
櫻桃幫 - 親愛的王子,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/Screenshot_2024-09-04_at_12.34.46.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://youtu.be/WYV-KCTvr7A?si=XBzO7gvP-wHAlQfr,Done,,2006
Tank - 延長比賽,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/tt.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV1N8411Y7r4/?share_source=copy_web,Done,,2006
S.H.E. - 月桂女神,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/sssss.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://www.bilibili.com/video/BV1Yz421y7fS/?share_source=copy_web,Done,,2005
返來呷飯 A Beautiful Summer Noon,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/eat.png,2022年10月23日,2023金雞百花獎特別榮譽短片，澳洲台灣影展特別榮譽短片及觀眾票選最佳短片，紐約羅德島影展決選入圍，法國克萊蒙費宏影展市場展，印尼巴厘島國際影展，高雄電影節，金穗獎，華山扶植新導演，府中15親子影展，特別放映。,導演 龔萬祥,短片 Short Film,▶️ https://www.youtube.com/watch?v=IiW7eE5VTTE,Done,編劇 龔萬祥,2022
 JJ 林俊傑 K-O,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/Screenshot_2024-09-04_at_11.55.14.png,,,導演 比爾賈,音樂錄影帶 Music Video,▶️ https://youtu.be/pbfi0XFUgbo?si=Hk-TdgQXxrqoVmEd,Done,,2007
中華電信光世代 - 應用篇,%E6%9E%97%E5%A7%BF%E5%AB%BA%20Tzushien%20Lin/z3.png,,,導演 蕭雅全,廣告 Commercial,▶️ https://youtu.be/B8VjW5pofDQ?si=0Q4J2YVbrImTxD9u,Done,,2007
